GEOID,within_dfo,within_aer,sel_sa_tracts
48201321500,1,1,1
48201321600,1,1,1
48331950402,1,1,1
48245011303,1,1,1
48201330900,1,1,1
48201331100,1,1,1
48201331200,1,1,1
48201331300,1,1,1
48201331400,1,1,1
48201331500,1,1,1
48201321700,1,1,1
48201321900,1,1,1
48201322000,1,1,1
48201322100,1,1,1
48201322200,1,1,1
48201331700,1,1,1
48201331800,1,1,1
48201331900,1,1,1
48201332100,1,1,1
48201332200,1,1,1
48201332400,1,1,1
48201332500,1,1,1
48285000300,1,1,1
48285000500,1,1,1
48285000400,1,1,1
48285000600,1,1,1
48285000200,1,1,1
48285000100,1,1,1
48201322700,1,1,1
48201322800,1,1,1
48089750400,1,1,1
48089750100,1,1,1
48089750300,1,1,1
48089750500,1,1,1
48089750200,1,1,1
48309002000,1,NA,NA
48309000598,1,NA,1
48137950300,NA,NA,NA
48327950300,NA,NA,NA
48201322900,1,1,1
48201323000,1,1,1
48201323100,1,1,1
48201323200,1,1,1
48201323300,1,1,1
48201323400,1,1,1
48201323500,1,1,1
48201323600,1,1,1
48201411700,1,1,1
48201411800,1,1,1
48201411900,1,1,1
48201412000,1,1,1
48201432400,1,1,1
48201432500,1,1,1
48201432600,1,1,1
48201340500,1,1,1
48201340600,1,1,1
48201340800,1,1,1
48201341000,1,1,1
48201412100,1,1,1
48201433300,1,1,1
48201433100,1,1,1
48201433600,1,1,1
48201433400,1,1,1
48201440100,1,1,1
48201450100,1,1,1
48201450200,1,1,1
48201450300,1,1,1
48201450400,1,1,1
48201450500,1,1,1
48201341100,1,1,1
48201450600,1,1,1
48201450700,1,1,1
48201450900,1,1,1
48201451100,1,1,1
48201451200,1,1,1
48201451300,1,1,1
48201421500,1,1,1
48201421600,1,1,1
48201421700,1,1,1
48201341800,1,1,1
48201451700,1,1,1
48201451800,1,1,1
48289950100,1,NA,1
48289950300,1,NA,NA
48289950200,1,NA,NA
48201421800,1,1,1
48201421900,1,1,1
48201422100,1,1,1
48201422200,1,1,1
48201422500,1,1,1
48201422600,1,1,1
48201342100,1,1,1
48201342200,1,1,1
48201342300,1,1,1
48201342400,1,1,1
48201342500,1,1,1
48201342700,1,1,1
48201342800,1,1,1
48201422800,1,1,1
48201422900,1,1,1
48201423000,1,1,1
48201451500,1,1,1
48201423100,1,1,1
48201343000,1,1,1
48201343200,1,1,1
48201452000,1,1,1
48201452100,1,1,1
48201452400,1,1,1
48201452500,1,1,1
48201452700,1,1,1
48201423600,1,1,1
48201412200,1,1,1
48201412300,1,1,1
48029161600,1,NA,1
48029980003,1,NA,1
48029170101,1,NA,1
48201412400,1,1,1
48029170200,1,NA,1
48029170300,1,NA,1
48029170401,1,NA,1
48201332600,1,1,1
48201412700,1,1,1
48201412800,1,1,1
48201412900,1,1,1
48201413100,1,1,1
48273020100,1,NA,NA
48273020500,1,1,1
48273020400,1,1,1
48273020200,1,1,1
48201430200,1,1,1
48201430300,1,1,1
48201430400,1,1,1
48201430500,1,1,1
48201413300,1,1,1
48201420200,1,1,1
48201430600,1,1,1
48201430700,1,1,1
48201430800,1,1,1
48201430900,1,1,1
48029170402,1,NA,1
48201431000,1,1,1
48029170500,1,NA,1
48029171912,1,NA,1
48201332700,1,1,1
48201332800,1,1,1
48201333000,1,1,1
48029172002,1,NA,1
48029180201,1,NA,1
48029180300,1,NA,1
48029180400,1,NA,1
48029180501,1,NA,1
48029180504,1,NA,1
48029180602,1,NA,1
48029180701,1,NA,1
48029180702,1,NA,1
48029180503,1,NA,1
48029180800,1,NA,1
48029180901,1,NA,1
48493000104,1,1,1
48493000404,1,NA,NA
48493000103,1,NA,NA
48029180902,1,NA,1
48029181001,1,NA,1
48029181003,1,NA,1
48029181004,1,NA,1
48029181005,1,NA,1
48029181100,1,NA,1
48029181200,1,NA,1
48029181301,1,NA,1
48029181302,1,NA,1
48029181402,1,NA,1
48029181504,1,NA,1
48029181505,1,NA,1
48029181506,1,NA,1
48029181601,1,NA,1
48029181703,1,NA,1
48029181704,1,NA,1
48029181705,1,NA,1
48029181711,1,NA,1
48029181712,1,NA,1
48029181713,1,NA,1
48029181715,1,NA,1
48029181716,1,NA,1
48157673101,1,1,1
48157673102,1,1,1
48029181718,1,NA,1
48029181809,1,NA,1
48029181811,1,NA,1
48029190200,1,NA,1
48029190400,1,NA,1
48029190501,1,NA,1
48029190601,1,NA,1
48029190800,1,NA,1
48029190901,1,NA,1
48027022103,1,NA,1
48027022200,1,NA,NA
48027022300,1,NA,1
48029191003,1,NA,1
48029191004,1,NA,1
48029191101,1,NA,1
48029191102,1,NA,1
48027023500,1,NA,1
48029191406,1,NA,1
48041002010,1,1,1
48185180400,1,1,1
48401950400,1,NA,1
48401950200,NA,NA,NA
48401950700,1,NA,1
48401950100,NA,NA,NA
48029191408,1,NA,1
48029191409,1,NA,1
48401950900,1,NA,1
48401951100,1,NA,1
48401950600,1,NA,1
48401951000,1,NA,1
48401951200,1,NA,1
48401950300,NA,NA,NA
48401950800,1,NA,1
48391950200,1,1,1
48029181808,1,NA,1
48027021201,1,NA,1
48027021202,1,NA,1
48027021301,1,NA,NA
48027021901,1,NA,1
48027022101,1,NA,1
48027022401,1,NA,1
48027022600,1,NA,1
48027022900,1,NA,1
48027023000,1,NA,1
48027023103,1,NA,1
48027023104,1,NA,1
48029190504,1,NA,1
48029190503,1,NA,1
48215024301,NA,NA,NA
48001950500,1,NA,1
48001950100,1,NA,1
48001950700,1,NA,1
48001950600,1,NA,1
48001951000,1,NA,1
48001950800,1,NA,1
48453000402,1,1,1
48209010804,1,1,1
48209010304,1,1,1
48209010910,1,1,1
48209010803,1,NA,NA
48209010808,1,NA,1
48209010303,1,1,1
48361020700,1,1,1
48361021100,1,1,1
48361021600,1,1,1
48361022300,1,1,1
48361021700,1,1,1
48361021200,1,1,1
48361020300,1,1,1
48361022000,1,1,1
48361021800,1,1,1
48361021000,1,1,1
48361022400,1,1,1
48361022200,1,1,1
48361021400,1,1,1
48361021900,1,1,1
48453000500,1,1,1
48255970400,1,1,1
48255970100,1,1,1
48255970300,1,1,1
48255970200,1,1,1
48313000300,1,NA,NA
48313000100,1,NA,NA
48313000200,1,NA,NA
48313000400,1,1,1
48361020200,1,1,1
48453000601,1,1,1
48453000603,1,1,1
48453000604,1,1,1
48453000801,1,1,1
48453000802,1,1,1
48453000803,1,1,1
48453000804,1,1,1
48453000901,1,1,1
48361020500,1,1,1
48029130402,1,NA,1
48029131503,1,NA,1
48399950500,NA,NA,NA
48399950600,NA,NA,NA
48399950100,NA,NA,NA
48399950200,NA,NA,NA
48361020900,1,1,1
48019000101,1,NA,1
48021950502,1,1,1
48027980003,1,NA,1
48027023403,1,NA,NA
48027023404,1,NA,NA
48027021903,1,NA,1
48027023204,1,NA,NA
48027980002,1,NA,1
48477170100,1,1,1
48477170600,1,1,1
48477170400,1,1,1
48477170500,1,1,1
48477170300,1,1,1
48477170200,1,1,1
48029121908,1,NA,NA
48029110300,1,NA,1
48261990000,NA,NA,NA
48281950301,1,NA,1
48453001603,1,1,1
48453001605,1,1,1
48453001606,1,1,1
48267950100,NA,NA,NA
48267950200,1,NA,1
48083950700,1,NA,1
48083950300,1,NA,1
48083950600,1,NA,1
48029121803,1,NA,1
48361021300,1,1,1
48029121812,1,NA,NA
48453001705,1,1,1
48453001706,1,1,1
