fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
188,48201350602,0,287949.2886,0.090206057,1,1,9376,584,0.062286689,3192128.082
189,48201341302,0,1691.917626,0.000832804,1,1,2871,0,0,2031591.051
190,48201341202,1423993.492,90072.00558,0.024590362,1,1,4741,3,0.000632778,5086892.351
191,48201350801,3714.574185,91415.48069,0.048551846,1,1,4719,129,0.0273363,1886557.082
192,48201341201,585200.1383,2356251.226,0.301544428,1,1,3484,282,0.080941447,8399144.093
193,48201410702,0,,,1,1,2145,0,0,907397.417
194,48201410701,0,,,1,1,3824,0,0,1078529.459
195,48201540902,0,130758.2314,0.028833505,1,1,6401,28,0.004374317,4534940.615
196,48201540601,19477.69924,766706.1926,0.388277054,1,1,4016,985,0.245268924,1994114.612
197,48201541203,1555.43335,,,1,1,2587,0,0,1525675.92
198,48201541002,31868.876,2021469.9,0.277719736,1,1,8660,910,0.105080831,7310681.264
199,48355003001,11820444.53,3013454.579,0.722418368,1,1,5604,1868,0.333333333,15991787.15
200,48355005412,8700.318979,4897.545756,0.001727468,1,1,5225,0,0,2843801.587
201,48355005409,124283.2841,,,1,1,3529,0,0,2115196.184
202,48355980000,0,,,1,1,12,0,0,10988504.88
203,48355001701,0,,,1,1,6181,0,0,3412758.816
204,48209010806,100522.0271,,,1,1,3959,0,0,72435094.81
205,48209010908,844404.3492,164791.4813,0.004235246,1,1,11619,0,0,39753944.98
206,48209010809,12918.84949,,,1,1,5380,0,0,56698535.24
207,48209010701,113920.172,,,1,1,7839,0,0,59343172.45
208,48209010702,464219.3346,,,1,1,2808,0,0,67170131.32
209,48209010905,461356.0809,,,1,1,6165,0,0,79447947.02
210,48209010907,502801.9301,,,1,1,12830,0,0,59787309.83
211,48209010807,307544.4957,,,1,,1811,0,0,191575024.6
212,48209010805,10080.92123,,,1,1,8438,0,0,32995676.74
213,48209010906,595391.4577,,,1,1,13146,0,0,60616865.45
214,48209010909,125991.8879,,,1,1,6607,0,0,5010841.782
215,48201233701,472548.54,663201.4302,0.095120862,1,1,5236,162,0.030939649,7444746.021
216,48201233703,304934.7703,486036.2841,0.066302225,1,1,2167,52,0.023996308,7635553.042
217,48201533801,64274.28246,334474.9936,0.039843637,1,1,9616,202,0.021006656,8458964.59
218,48201222502,0,134502.9789,0.039485022,1,1,3367,2,0.000594001,3406430.476
219,48201240502,0,72163.3781,0.112801611,1,1,5042,97,0.019238397,639737.1121
220,48201533802,5441.913391,172139.7726,0.031148722,1,1,6492,134,0.020640789,5531825.025
221,48201410401,0,,,1,1,4065,0,0,875920.8304
222,48201411501,0,,,1,1,5958,0,0,1521451.172
223,48201431802,0,,,1,1,4416,0,0,1360239.979
224,48201431801,0,,,1,1,3652,0,0,1226976.731
225,48201413201,0,,,1,1,2742,0,0,481968.8443
226,48201432801,0,,,1,1,4897,0,0,2257810.962
227,48201421201,0,,,1,1,4623,0,0,454425.1166
228,48039663400,1234524.506,2413622.511,0.234230548,1,1,7325,59,0.008054608,11538998.13
229,48039663500,10193.79398,,,1,1,5889,0,0,3632004.935
230,48039663600,52791.98386,222976.093,0.038443182,1,1,5131,42,0.008185539,5852938.922
231,48039663700,6396.933122,41305.34568,0.011056406,1,1,3569,9,0.002521715,3742271.316
232,48201432702,0,21375.23097,0.018631089,1,1,3633,0,0,1147288.356
233,48201432701,0,19658.04736,0.017154682,1,1,6187,0,0,1145928.961
234,48201422702,0,11230.6063,0.008763038,1,1,2788,0,0,1281588.25
235,48201422701,0,,,1,1,5013,0,0,1831179.91
236,48201422402,0,,,1,1,5748,0,0,1356664.455
237,48201541201,777.5226974,258442.6267,0.057632893,1,1,8440,231,0.027369668,4485067.988
238,48201541202,0,,,1,1,8466,0,0,3189605.421
239,48201542102,37331.80595,479362.4629,0.076243937,1,1,15519,341,0.021973065,6324552.56
240,48201543003,5184.047699,708121.1573,0.116596967,1,1,20410,1565,0.076678099,6078422.376
241,48201553002,6043.995377,499325.1941,0.108368851,1,1,4496,81,0.018016014,4613688.989
242,48201553001,11133.28583,402268.126,0.08543282,1,1,5324,14,0.002629602,4719723.181
243,48201252200,39318.00778,4738309.356,0.21934697,1,1,7608,712,0.093585699,21641208.54
